"1splitHere46","5457590splitHere46","ObjectMapper objectMapper = new ObjectMapper();<newline46mondego>objectMapper.configure(SerializationConfig.Feature.INDENT_OUTPUT, true);<newline46mondego><newline46mondego>String originalJson = ...<newline46mondego>JsonNode tree = objectMapper .readTree(originalJson);<newline46mondego>String formattedJson = objectMapper.writeValueAsString(tree);<newline46mondego>"
"3903splitHere46","5584487splitHere46","net.sf.gilead.pojo.gwt.LightEntity"
"3904splitHere46","5584783splitHere46","Collections.reverseOrder()"
"3905splitHere46","5584783splitHere46","Comparator<Object>"
"3906splitHere46","5584783splitHere46","Arrays.sort"
"3907splitHere46","5584783splitHere46","import java.util.Arrays;<newline46mondego>import java.util.Collections;<newline46mondego><newline46mondego>public class MyArray {<newline46mondego><newline46mondego>    public static void name() {            <newline46mondego>        String hello = <doubleQuotes46>hello, world<doubleQuotes46>;<newline46mondego>        char[] hello_array = hello.toCharArray();<newline46mondego>        // copy to wrapper array<newline46mondego>        Character[] hello_array1 = new Character[hello_array.length];<newline46mondego>        for (int i = 0; i < hello_array.length; i++) {<newline46mondego>           hello_array1[i] = hello_array[i];<newline46mondego>        }<newline46mondego>        // sort the wrapper array instead of primitives<newline46mondego>        Arrays.sort(hello_array1, Collections.reverseOrder());                            <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3908splitHere46","5584935splitHere46","BufferedReader buf = new BufferedReader(new InputStreamReader(urlcon.getInputStream()));<newline46mondego>"
"3909splitHere46","5585278splitHere46","/**<newline46mondego>    * This will find how many pairs of numbers in the given array sum<newline46mondego>    * up to the given number.<newline46mondego>    *<newline46mondego>    * @param array - array of integers<newline46mondego>    * @param sum - The sum<newline46mondego>    * @return int - number of pairs.<newline46mondego>    */<newline46mondego>public static int sumOfSubset(int[] array, int sum)<newline46mondego>{<newline46mondego>        // This has a complexity of O ( n lg n )<newline46mondego>        Arrays.sort(array);<newline46mondego><newline46mondego>        int pairCount = 0;<newline46mondego>        int leftIndex = 0;<newline46mondego>        int rightIndex = array.length - 1;<newline46mondego><newline46mondego>        // The portion below has a complextiy of<newline46mondego>        //  O ( n ) in the worst case.<newline46mondego>        while (array[rightIndex] > sum + array[0])<newline46mondego>        {<newline46mondego>            rightIndex--;    <newline46mondego>        }<newline46mondego><newline46mondego>        while (leftIndex < rightIndex)<newline46mondego>        {<newline46mondego>            if (array[leftIndex] + array[rightIndex] == sum)<newline46mondego>            {<newline46mondego>                pairCount++;<newline46mondego>                leftIndex++;<newline46mondego>                rightIndex--;<newline46mondego>            }<newline46mondego>            else if(array[leftIndex] + array[rightIndex]  < sum)<newline46mondego>            {<newline46mondego>                leftIndex++;<newline46mondego>            }<newline46mondego>            else<newline46mondego>            {<newline46mondego>                rightIndex--;   <newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        return pairCount;<newline46mondego>}<newline46mondego>"
"3910splitHere46","5585800splitHere46","int foo = Integer.parseInt(<doubleQuotes46>1234<doubleQuotes46>);<newline46mondego>"
"3911splitHere46","5585800splitHere46","Integer.parseInt(myBuffer.toString());"
"3912splitHere46","5586041splitHere46","int"
"3913splitHere46","5586041splitHere46","char"
"3914splitHere46","5586041splitHere46","String"
"3915splitHere46","5586041splitHere46","Character.toString()"
"3916splitHere46","5586041splitHere46","String s = Character.toString((char)c);<newline46mondego>"
"3917splitHere46","5586041splitHere46","\u"
"3918splitHere46","5586041splitHere46","int c = 0x2202"
"3919splitHere46","5586313splitHere46","for (String eachClient : this.clientCatalogue.keySet())<newline46mondego>{<newline46mondego>    List<Client> clientDetails; = clientCatalogue.get(eachClient);<newline46mondego><newline46mondego>    for(Client cl : clientDetails)<newline46mondego>    {<newline46mondego><newline46mondego>         System.out.println(<doubleQuotes46>Details of client are: <doubleQuotes46> + cl.toString());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3920splitHere46","5586313splitHere46","toString()"
"3921splitHere46","5586313splitHere46","Client"
"3922splitHere46","5586313splitHere46","List<Clients> clientDetails"
"3923splitHere46","5586313splitHere46","for (List<Client> clientDetails : this.clientCatalogue.values())<newline46mondego>{<newline46mondego>    for(Client cl : clientDetails)<newline46mondego>    {    <newline46mondego>         System.out.println(<doubleQuotes46>Details of client are: <doubleQuotes46> + cl.toString());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3924splitHere46","5586315splitHere46","public boolean isPrivateNetwork(){<newline46mondego>    int result = getOctet(yourIndex)<newline46mondego>}<newline46mondego>"
"3925splitHere46","5586331splitHere46","PreparedStatement stmt = con.prepareStatement(<newline46mondego>    <doubleQuotes46>INSERT INTO employees('salary', 'name') VALUES (?, ?)<doubleQuotes46>);<newline46mondego><newline46mondego>stmt.setInt(1, 2000);<newline46mondego>stmt.setString(2, <doubleQuotes46>Kelly Kaufmann<doubleQuotes46>);<newline46mondego>stmt.addBatch();<newline46mondego><newline46mondego>stmt.setInt(1, 3000);<newline46mondego>stmt.setString(2, <doubleQuotes46>Bill Barnes<doubleQuotes46>);<newline46mondego>stmt.addBatch();<newline46mondego><newline46mondego>// submit the batch for execution<newline46mondego>stmt.executeBatch();<newline46mondego>"
"3926splitHere46","5586859splitHere46","BorderFactory.createLineBorder(color, thickness)"
"3927splitHere46","5586859splitHere46","matteBorder"
"3928splitHere46","5586859splitHere46","LineBorder"
"3929splitHere46","5586859splitHere46","LineBorder.createBlackLineBorder()"
"3930splitHere46","5586859splitHere46","JLabel"
"3931splitHere46","5586859splitHere46","JTextPanel"
"3932splitHere46","5586859splitHere46","text"
"3933splitHere46","5586859splitHere46","href"
"3934splitHere46","5586953splitHere46","getMethod"
"3935splitHere46","5586953splitHere46","import java.lang.reflect.Method;<newline46mondego><newline46mondego><newline46mondego>public class Example {<newline46mondego><newline46mondego>    public void exampleMethodNoParam() {<newline46mondego>        System.out.println(<doubleQuotes46>No params<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void exampleMethodWithParam(String arg) {<newline46mondego>        System.out.println(arg);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) throws Throwable {<newline46mondego>        Example example = new Example();<newline46mondego>        Method noParam = Example.class.getMethod(<doubleQuotes46>exampleMethodNoParam<doubleQuotes46>);<newline46mondego>        Method stringParam = Example.class.getMethod(<doubleQuotes46>exampleMethodWithParam<doubleQuotes46>, String.class);<newline46mondego>        noParam.invoke(example);<newline46mondego>        stringParam.invoke(example, <doubleQuotes46>test<doubleQuotes46>);<newline46mondego>        //output <newline46mondego>        //No params<newline46mondego>        //test<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3936splitHere46","5586953splitHere46","null"
"3937splitHere46","5586953splitHere46","null"
"3938splitHere46","5586953splitHere46","public void exampleMethod(Class<?> object) { }"
"3939splitHere46","5587153splitHere46","group by Brand.brandId<newline46mondego>"
"3940splitHere46","5587163splitHere46","segment2.incrementValue()<newline46mondego>"
"3941splitHere46","5587163splitHere46","Digits.incrementValue()"
"3942splitHere46","5587163splitHere46","void"
"3943splitHere46","5587163splitHere46","if(segment2.incrementValue() == 0){ //Corrected your equals operation<newline46mondego>"
"3944splitHere46","5587163splitHere46","value"
"3945splitHere46","5587163splitHere46","value"
"3946splitHere46","5587163splitHere46","Digits"
"3947splitHere46","5587163splitHere46","value"
"3948splitHere46","5587163splitHere46","segment2.incrementValue();<newline46mondego>if (segment2.getValue() == 0) {<newline46mondego>  //Do work....<newline46mondego>  segment1.setValue(segment1.getValue() + 1);<newline46mondego>}<newline46mondego>"
"3949splitHere46","5587193splitHere46","String[] tags = stringFullOfTags.split(<doubleQuotes46>[\\s,;]+<doubleQuotes46>);<newline46mondego>"
"3950splitHere46","5587193splitHere46","List<String> listOfTags = Arrays.asList(tags);<newline46mondego>if (listOfTags.contains(<doubleQuotes46>tag<doubleQuotes46>) {<newline46mondego>    ....<newline46mondego>} else if (listOfTags.containsAll(Arrays.asList({<doubleQuotes46>tag<doubleQuotes46>, <doubleQuotes46>test_3<doubleQuotes46>})) {<newline46mondego>    ....<newline46mondego>}<newline46mondego>"
"3951splitHere46","5587213splitHere46","weekDay[weekDay]"
"3952splitHere46","5587213splitHere46","weekDays[weekDay]"
"3953splitHere46","5587213splitHere46","public String returnWeekday(int anyDay)<newline46mondego>{<newline46mondego>    int weekDay = anyDay - 1;<newline46mondego>    return weekDays[weekDay];<newline46mondego>}<newline46mondego>"
"3954splitHere46","5587500splitHere46","IPAddress"
"3955splitHere46","5587500splitHere46","IPAddressString"
"3956splitHere46","5587500splitHere46","IPAddress"
"3957splitHere46","5587500splitHere46","IPAddressString"
"3958splitHere46","5587500splitHere46","class IPAddressString implements IPAddress<newline46mondego>"
"3959splitHere46","5587500splitHere46","IPAddress n1= new IPAddressString (n0,n1,n2,n3);<newline46mondego>"
"3960splitHere46","5587500splitHere46","n1"
"3961splitHere46","5587502splitHere46","${it}<newline46mondego>"
"3962splitHere46","5587502splitHere46","<%=pageContext.findAttribute(<doubleQuotes46>it<doubleQuotes46>)%><newline46mondego>"
"3963splitHere46","5587502splitHere46","Map<String, Something>"
"3964splitHere46","5587502splitHere46","${it.main}, ${it.footer}, etc<newline46mondego>"
"3965splitHere46","5587502splitHere46","main"
"3966splitHere46","5587502splitHere46","footer"
"3967splitHere46","5587502splitHere46","Map"
"3968splitHere46","5587554splitHere46","sessionTransacted"
"3969splitHere46","5587554splitHere46","onMessage"
"3970splitHere46","5587554splitHere46","sessionTransacted"
"3971splitHere46","5587608splitHere46",".class"
"3972splitHere46","5587608splitHere46","java GoodDogTestDrive<newline46mondego>"
"3973splitHere46","5587805splitHere46","public boolean contains(int number) {<newline46mondego>     for (int i=0; i<values.length; i++) <newline46mondego>          if (number==values[i]) return true;<newline46mondego>     return false;<newline46mondego>}<newline46mondego><newline46mondego>public void add(int number) {<newline46mondego>     int[] tmp = new int[value.length+1];<newline46mondego>     for (int i=0; i<values.length; i++) tmp[i] = values[i];<newline46mondego>     tmp[tmp.length-1] = number;<newline46mondego>     values = tmp;<newline46mondego>}<newline46mondego>"
"3974splitHere46","5587806splitHere46","import java.util.*;<newline46mondego>"
"3975splitHere46","5587806splitHere46","public class DoubleIndexSort {<newline46mondego><newline46mondego>    static class DI implements Comparable<DI> {<newline46mondego>        final int index;<newline46mondego><newline46mondego>        final double val;<newline46mondego><newline46mondego><newline46mondego>        DI(double v, int i) {<newline46mondego>            val = v;<newline46mondego>            index = i;<newline46mondego>        }<newline46mondego><newline46mondego><newline46mondego>        public int compareTo(DI other) {<newline46mondego>            if (val < other.val) {<newline46mondego>                return 1;<newline46mondego>            } else if (val == other.val) {<newline46mondego>                return 0;<newline46mondego>            }<newline46mondego>            return -1;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego><newline46mondego>    public static void checkResult(double[] test, int[] indexes) {<newline46mondego>        for(int i = 0;i < indexes.length;i++) {<newline46mondego>            int ii = indexes[i];<newline46mondego>            double iv = test[ii];<newline46mondego>            // System.out.println(<doubleQuotes46>Checking <doubleQuotes46> + i + <doubleQuotes46> -> <doubleQuotes46> + ii + <doubleQuotes46> = <doubleQuotes46> + iv);<newline46mondego>            for(int j = 0;j < test.length;j++) {<newline46mondego>                // System.out.println(j + <doubleQuotes46> -> <doubleQuotes46> + test[j]);<newline46mondego>                if (j != ii && test[j] > iv) throw new RuntimeException();<newline46mondego>            }<newline46mondego>            test[ii] = -1;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static int[] getHighestIndexes(double[] data, int topN) {<newline46mondego>        if (data.length <= topN) {<newline46mondego>            return sequence(topN);<newline46mondego>        }<newline46mondego>        int[] bestIndex = new int[topN];<newline46mondego>        double[] bestVals = new double[topN];<newline46mondego><newline46mondego>        bestIndex[0] = 0;<newline46mondego>        bestVals[0] = data[0];<newline46mondego><newline46mondego>        for(int i = 1;i < topN;i++) {<newline46mondego>            int j = i;<newline46mondego>            while( (j > 0) && (bestVals[j - 1] < data[i]) ) {<newline46mondego>                bestIndex[j] = bestIndex[j - 1];<newline46mondego>                bestVals[j] = bestVals[j - 1];<newline46mondego>                j--;<newline46mondego>            }<newline46mondego>            bestVals[j] = data[i];<newline46mondego>            bestIndex[j] = i;<newline46mondego>        }<newline46mondego><newline46mondego>        for(int i = topN;i < data.length;i++) {<newline46mondego>            if (bestVals[topN - 1] < data[i]) {<newline46mondego>                int j = topN - 1;<newline46mondego>                while( (j > 0) && (bestVals[j - 1] < data[i]) ) {<newline46mondego>                    bestIndex[j] = bestIndex[j - 1];<newline46mondego>                    bestVals[j] = bestVals[j - 1];<newline46mondego>                    j--;<newline46mondego>                }<newline46mondego>                bestVals[j] = data[i];<newline46mondego>                bestIndex[j] = i;<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        return bestIndex;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static int[] getHighestIndexes2(double[] data, int topN) {<newline46mondego>        if (data.length <= topN) {<newline46mondego>            return sequence(topN);<newline46mondego>        }<newline46mondego>        DI[] di = new DI[data.length];<newline46mondego>        for(int i = 0;i < data.length;i++) {<newline46mondego>            di[i] = new DI(data[i], i);<newline46mondego>        }<newline46mondego>        Arrays.sort(di);        <newline46mondego><newline46mondego>        int[] res = new int[topN];<newline46mondego>        for(int i = 0;i < topN;i++) {<newline46mondego>            res[i] = di[i].index;<newline46mondego>        }<newline46mondego>        return res;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static int[] getHighestIndexes3(double[] data, int topN) {<newline46mondego>        if (data.length <= topN) {<newline46mondego>            return sequence(topN);<newline46mondego>        }<newline46mondego>        SortedSet<DI> set = new TreeSet<DI>();<newline46mondego>        for(int i=0;i<data.length;i++) {<newline46mondego>            set.add(new DI(data[i],i));<newline46mondego>        }<newline46mondego>        Iterator<DI> iter = set.iterator();<newline46mondego>        int[] res = new int[topN];<newline46mondego>        for(int i = 0;i < topN;i++) {<newline46mondego>            res[i] = iter.next().index;<newline46mondego>        }<newline46mondego>        return res;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static int[] getHighestIndexes4(double[] data, int topN) {<newline46mondego>        if (data.length <= topN) {<newline46mondego>            return sequence(topN);<newline46mondego>        }<newline46mondego>        SortedSet<DI> set = new TreeSet<DI>();<newline46mondego>        for(int i=0;i<data.length;i++) {<newline46mondego>            set.add(new DI(data[i],i));<newline46mondego>            if( set.size() > topN ) {<newline46mondego>                set.remove(set.last());<newline46mondego>            }<newline46mondego>        }<newline46mondego>        Iterator<DI> iter = set.iterator();<newline46mondego>        int[] res = new int[topN];<newline46mondego>        for(int i = 0;i < topN;i++) {<newline46mondego>            res[i] = iter.next().index;<newline46mondego>        }<newline46mondego>        return res;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * @param args<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        long elap1 = 0;<newline46mondego>        long elap2 = 0;<newline46mondego>        long elap3 = 0;<newline46mondego>        long elap4 = 0;<newline46mondego>        for(int i = 1;i <= 1000;i++) {<newline46mondego>            double[] data = testData();<newline46mondego>            long now = System.nanoTime();<newline46mondego>            int[] inds = getHighestIndexes(data, 100);<newline46mondego>            elap1 += System.nanoTime() - now;<newline46mondego>            checkResult(data, inds);<newline46mondego>            System.out.println(<doubleQuotes46>\nInsert sort: <doubleQuotes46>+(elap1 / i));<newline46mondego><newline46mondego>            now = System.nanoTime();<newline46mondego>            inds = getHighestIndexes2(data, 100);<newline46mondego>            elap2 += System.nanoTime() - now;<newline46mondego>            checkResult(data, inds);<newline46mondego>            System.out.println(<doubleQuotes46>Object sort: <doubleQuotes46>+(elap2 / i));<newline46mondego><newline46mondego>            now = System.nanoTime();<newline46mondego>            inds = getHighestIndexes3(data, 100);<newline46mondego>            elap3 += System.nanoTime() - now;<newline46mondego>            checkResult(data, inds);<newline46mondego>            System.out.println(<doubleQuotes46>Sorted set:  <doubleQuotes46>+(elap3 / i));<newline46mondego><newline46mondego>            now = System.nanoTime();<newline46mondego>            inds = getHighestIndexes4(data, 100);<newline46mondego>            elap4 += System.nanoTime() - now;<newline46mondego>            checkResult(data, inds);<newline46mondego>            System.out.println(<doubleQuotes46>Limited set: <doubleQuotes46>+(elap4 / i));<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    private static int[] sequence(int n) {<newline46mondego>        int[] indexes = new int[n];<newline46mondego>        for(int i = 0;i < n;i++) {<newline46mondego>            indexes[i] = i;<newline46mondego>        }<newline46mondego>        return indexes;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public static double[] testData() {<newline46mondego>        double[] test = new double[3000];<newline46mondego>        for(int i = 0;i < test.length;i++) {<newline46mondego>            test[i] = Math.random();<newline46mondego>        }<newline46mondego>        return test;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3976splitHere46","5587994splitHere46","PROCEDURE get_User_name<newline46mondego>( user_id_in IN user.user_id%TYPE, <newline46mondego>  user_name_out OUT user.user_name%TYPE,<newline46mondego>  user_ssn_out  out user.ssn_type%TYPE ) IS<newline46mondego><newline46mondego>BEGIN<newline46mondego><newline46mondego>SELECT c.user_name, c.ssn <newline46mondego>  INTO user_name_out, ssn_out<newline46mondego>  FROM user c<newline46mondego>  WHERE c.user_id = user_in;<newline46mondego><newline46mondego>END get_user_name;<newline46mondego>"
"3977splitHere46","5587994splitHere46","cstmt = db.prepareCall(<doubleQuotes46>{ call sample.PACK_USER.get_user_name(?, ?, ?) }<doubleQuotes46>);<newline46mondego><newline46mondego>        cstmt.setString(1,this.getuserid());<newline46mondego>        cstmt.registerOutParameter(2,OracleTypes.VARCHAR);<newline46mondego>        cstmt.registerOutParameter(3,OracleTypes.VARCHAR);<newline46mondego>        cstmt.execute();<newline46mondego><newline46mondego>        String userName = cstmt.getString(2);<newline46mondego>        String ssnType = cstmt.getString(3);<newline46mondego>"
"3978splitHere46","5588262splitHere46","java -cp .;mysql-connector-java-5.1.7-bin.jar JdbcExample1"
"3979splitHere46","5588262splitHere46","CLASSPATH"
"3980splitHere46","5588392splitHere46","private static String PATTERN_DATE_REPORTED = <doubleQuotes46>Date Reported([0-9]{2}/[0-9]{2}/[0-9]{4} [0-9]{2}:[0-9]{2})<doubleQuotes46>;<newline46mondego>"
"3981splitHere46","5588467splitHere46","boolean b = Arrays.equals(nir1, nir2); //prints true in this case<newline46mondego>"
"3982splitHere46","5588659splitHere46","<newline46mondego><newline46mondego>        b.addActionListener(new ActionListener()<newline46mondego>        {<newline46mondego>            public void actionPerformed(ActionEvent ae)<newline46mondego>            {<newline46mondego>                DatePicker dp = new DatePicker(f);<newline46mondego>                Point bP = b.getLocationOnScreen();<newline46mondego>                dp.d.setLocation(bP.x, bP.y + b.getHeight()); <newline46mondego>                dp.d.setVisible(true);<newline46mondego>                text.setText(dp.setPickedDate());<newline46mondego>            }<newline46mondego>        });<newline46mondego><newline46mondego>"
"3983splitHere46","5588833splitHere46","TypeHandler"
"3984splitHere46","5588833splitHere46","ResultSet"
"3985splitHere46","5588833splitHere46","StringTypeHandler"
"3986splitHere46","5588833splitHere46","public Object getResult(ResultSet rs, String columnName) throws SQLException {<newline46mondego>    Object s = rs.getString(columnName);<newline46mondego>    if (rs.wasNull()) {<newline46mondego>        return null;<newline46mondego>    } else {<newline46mondego>        return s;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3987splitHere46","5588833splitHere46","ResultSet"
"3988splitHere46","5588833splitHere46","rs.getString(columnName)"
"3989splitHere46","5588833splitHere46","SQLException"
"3990splitHere46","5588833splitHere46","TypeHandler"
"3991splitHere46","5588833splitHere46","null"
"3992splitHere46","5588954splitHere46","IPAddress"
"3993splitHere46","5588954splitHere46","IPAddressShortArray"
"3994splitHere46","5588954splitHere46","public int getOctet(int octetIndex)<newline46mondego>"
"3995splitHere46","5588954splitHere46","IPAddressShortArray"
"3996splitHere46","5588954splitHere46","public int getOctet(int octetindex) {<newline46mondego>  return this.IpAddress[octetindex];<newline46mondego>}<newline46mondego>"
"3997splitHere46","5588954splitHere46","equals"
"3998splitHere46","5588954splitHere46","other.getOctet(i)"
"3999splitHere46","5588954splitHere46","other[i]"
"4000splitHere46","5588954splitHere46","other.IpAddress[i]"
"4001splitHere46","5588982splitHere46","accept()"
"4002splitHere46","5588982splitHere46","setTimeout()"
"4003splitHere46","5588982splitHere46","SocketTimeoutException"
"4004splitHere46","5588982splitHere46","accept()"
"4005splitHere46","5588982splitHere46","gameStarted"
"4006splitHere46","5588982splitHere46","gameStarted"
"4007splitHere46","5588982splitHere46","private synchronized boolean isGameStarted() {<newline46mondego>  return gameStarted;<newline46mondego>}<newline46mondego><newline46mondego>...<newline46mondego>try {<newline46mondego>  while (!isGameStarted()) {<newline46mondego>...<newline46mondego>"
"4008splitHere46","5589248splitHere46","URL"
"4009splitHere46","5589248splitHere46","getResource()"
"4010splitHere46","5589248splitHere46","getResourceAsStream()"
"4011splitHere46","5589248splitHere46","URL"
"4012splitHere46","5589248splitHere46","File myProps = new File(myUrl.toURI());<newline46mondego>FileInputStream in = new FileInputStream(myProps); <newline46mondego>"
"4013splitHere46","5589366splitHere46","long start = System.currentTimeMillis();<newline46mondego>"
"4014splitHere46","5589366splitHere46","long end = System.currentTimeMillis();<newline46mondego>System.out.println(<doubleQuotes46>Method time is: <doubleQuotes46> + (end - start));<newline46mondego>"
"4015splitHere46","5589404splitHere46","sh jdk-6u24-linux-i586-rpm.bin<newline46mondego>"
"4016splitHere46","5589882splitHere46","System.out.println(Tenor.sing() + <doubleQuotes46> <doubleQuotes46> + Singer.sing())<newline46mondego>"
"4017splitHere46","5589882splitHere46","Singer s = new Tenor();<newline46mondego>System.out.println(s.sing());<newline46mondego>"
"4018splitHere46","5589921splitHere46","ContactList contactList = (ContactList)PIM.getInstance().openPIMList(<newline46mondego>    PIM.CONTACT_LIST, PIM.WRITE_ONLY);<newline46mondego><newline46mondego>Contact newContact = contactList.createContact();<newline46mondego>newContact.addString(Contact.ORG, Contact.STRING, <doubleQuotes46>ACME Corporation<doubleQuotes46>);<newline46mondego><newline46mondego>if ( contactList.isSupportedField(Contact.EMAIL) ) <newline46mondego>{<newline46mondego>   newContact.addString(Contact.EMAIL, Contact.STRING, <doubleQuotes46>johndoe@acme.com<doubleQuotes46>);<newline46mondego>}<newline46mondego><newline46mondego>newContact.commit();<newline46mondego>"
"4019splitHere46","5590081splitHere46","user.home"
"4020splitHere46","5590169splitHere46","frame.setDefaultCloseOperation(JFrame.DO_NOTHING_ON_CLOSE);<newline46mondego>"
"4021splitHere46","5590386splitHere46","e.getSource()"
"4022splitHere46","5590386splitHere46","e.getSource()"
"4023splitHere46","5590386splitHere46","if"
"4024splitHere46","5590528splitHere46","public class EntryPoint<newline46mondego>{<newline46mondego>    static<newline46mondego>    {<newline46mondego>        // Workaround for entry points being static initializers<newline46mondego>        String[] arguments = getArgumentsHoweverThatHappens();<newline46mondego>        RealEntryPoint.execute(arguments);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"4025splitHere46","5590528splitHere46","EntryPoint"
"4026splitHere46","5590559splitHere46","<doubleQuotes46>^[0-9|*,]$<doubleQuotes46>"
"4027splitHere46","5590559splitHere46","<doubleQuotes46>[1-9]<doubleQuotes46>"
"4028splitHere46","5590559splitHere46","<doubleQuotes46>\\|<doubleQuotes46>"
"4029splitHere46","5590559splitHere46","<doubleQuotes46>\\*<doubleQuotes46>"
"4030splitHere46","5590559splitHere46","<doubleQuotes46>\\,<doubleQuotes46>"
"4031splitHere46","5590575splitHere46","public class PiReCalc {<newline46mondego>  public static final int N = 1000; // # of terms<newline46mondego>   public static void main(String[] args) {<newline46mondego>  BigDecimal sum = new BigDecimal(0);      // final sum<newline46mondego>  BigDecimal term = new BigDecimal(0);           // term without sign<newline46mondego>  BigDecimal sign = new BigDecimal(1.0);     // sign on each term<newline46mondego><newline46mondego>  BigDecimal one = new BigDecimal(1.0);<newline46mondego>  BigDecimal two = new BigDecimal(2.0);<newline46mondego><newline46mondego>  for (int k = 0; k < N; k++) {<newline46mondego>     BigDecimal count = new BigDecimal(k); <newline46mondego>     //term = 1.0/(2.0*k + 1.0);<newline46mondego>     BigDecimal temp1 = two.multiply(count);<newline46mondego>     BigDecimal temp2 = temp1.add(one);<newline46mondego>     term = one.divide(temp2,50,BigDecimal.ROUND_FLOOR);<newline46mondego><newline46mondego>     //sum = sum + sign*term;<newline46mondego>     BigDecimal temp3 = sign.multiply(term);<newline46mondego>     sum = sum.add(temp3);<newline46mondego><newline46mondego>     sign = sign.negate();<newline46mondego>  }<newline46mondego>  BigDecimal pi = new BigDecimal(0);<newline46mondego>  BigDecimal four = new BigDecimal(4);<newline46mondego>  pi = sum.multiply(four);<newline46mondego><newline46mondego>  System.out.println(<doubleQuotes46>Calculated pi (approx., <doubleQuotes46> + N + <doubleQuotes46> terms and 50 Decimal Places): <doubleQuotes46> + pi);<newline46mondego>  System.out.println(<doubleQuotes46>Actual pi: <doubleQuotes46> + Math.PI);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"4032splitHere46","5590609splitHere46","InputStream"
"4033splitHere46","5590609splitHere46","Reader"
"4034splitHere46","5590609splitHere46","InputStream"
"4035splitHere46","5590609splitHere46","Reader reader = new InputStreamReader(inputStream, <doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego>"
"4036splitHere46","5590609splitHere46","UnsupportedEncodingException"
"4037splitHere46","5590609splitHere46","Charsets"
"4038splitHere46","5590609splitHere46","Charsets.UTF_8"
"4039splitHere46","5590735splitHere46","JScrollPane jsp = new JScrollPane(lista);<newline46mondego>        jsp.setVerticalScrollBarPolicy(JScrollPane.VERTICAL_SCROLLBAR_ALWAYS);<newline46mondego>        jsp.setHorizontalScrollBarPolicy(JScrollPane.HORIZONTAL_SCROLLBAR_NEVER);<newline46mondego>"
"4040splitHere46","5590956splitHere46","time(new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        System.out.println(<doubleQuotes46>statements<doubleQuotes46>);<newline46mondego>    }<newline46mondego>});<newline46mondego><newline46mondego>static void time(Runnable r) {<newline46mondego>    long startTime = System.nanoTime();<newline46mondego>    r.run();<newline46mondego>    System.out.println(<doubleQuotes46>Runtime: <doubleQuotes46> + (System.nanoTime() - startTime));<newline46mondego>}<newline46mondego>"
"4041splitHere46","5590956splitHere46","try (Measure m = new Measure()) {<newline46mondego>    System.out.println(<doubleQuotes46>statements<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"4042splitHere46","5590956splitHere46","System.nanoTime()"
"4043splitHere46","5590956splitHere46","System.currentTimeMillis()"
"4044splitHere46","5591170splitHere46","RosterEntry#getName()"
"4045splitHere46","5591170splitHere46","for(RosterEntry r:entries)<newline46mondego>{<newline46mondego>    System.out.println(r.getName());<newline46mondego>}<newline46mondego>"
"4046splitHere46","5591268splitHere46","maven deploy plugin"
"4047splitHere46","5591268splitHere46","<plugin><newline46mondego>           <artifactId>maven-deploy-plugin</artifactId><newline46mondego>           <version>X.Y</version><newline46mondego>           <configuration><newline46mondego>             <skip>true</skip><newline46mondego>          </configuration><newline46mondego>        </plugin><newline46mondego>"
"4048splitHere46","5591604splitHere46","INSERT INTO employees VALUES (<doubleQuotes46>.*?<doubleQuotes46>, <doubleQuotes46>(.*?)<doubleQuotes46>, <doubleQuotes46>.*?<doubleQuotes46>);<newline46mondego>"
"4049splitHere46","5591604splitHere46","(X)"
"4050splitHere46","5591604splitHere46","X"
"4051splitHere46","5591604splitHere46","X"
"4052splitHere46","5591604splitHere46","Matcher.group()"
