"1splitHere46","14623876splitHere46","for(int year = 1900; year <= 2012; year++){<newline46mondego>if((year % 4 == 0 && year % 100 != 0) || year % 400 == 0){<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).clear();<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).sendKeys(<doubleQuotes46>29/02/<doubleQuotes46> + year);<newline46mondego>}<newline46mondego>}<newline46mondego>"
"5819splitHere46","14778978splitHere46","BarPlayer"
"5820splitHere46","14778978splitHere46","Player player = new FooPlayer()"
"5821splitHere46","14778978splitHere46","Player"
"5822splitHere46","14778978splitHere46","class Player {<newline46mondego>    abstract String greet();<newline46mondego>}<newline46mondego><newline46mondego>class EnglishPlayer extends Player {<newline46mondego>    String greet() {<newline46mondego>        return <doubleQuotes46>Hello<doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class JapanesePlayer extends Player {<newline46mondego>    String greet() {<newline46mondego>        return <doubleQuotes46>Konnichi wa<doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"5823splitHere46","14779089splitHere46","table.setWidths(new int[]{200,50});<newline46mondego>"
"5824splitHere46","14779232splitHere46","Edge"
"5825splitHere46","14779232splitHere46","static"
"5826splitHere46","14779232splitHere46","public static class Edge {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"5827splitHere46","14779232splitHere46","Map.Entry"
"5828splitHere46","14779232splitHere46","Map"
"5829splitHere46","14779409splitHere46","PermGen"
"5830splitHere46","14779428splitHere46","set"
"5831splitHere46","14779428splitHere46","set1"
"5832splitHere46","14779428splitHere46","String.contains()"
"5833splitHere46","14779428splitHere46","`toLowerCase()"
"5834splitHere46","14779428splitHere46","contains()"
"5835splitHere46","14779428splitHere46","ResultSet set = statement.executeQuery();<newline46mondego>   while(set.next()) {<newline46mondego>       if(set.getString(1).toLowerCase()<newline46mondego>              .contains(keyword.toLowerCase)) {<newline46mondego>           list.put(set.getString(2), set.getString(1));<newline46mondego>       }<newline46mondego>   }<newline46mondego>"
"5836splitHere46","14779432splitHere46","String militaryTimeRegex = <doubleQuotes46>^([01]\\d|2[0-3]):?([0-5]\\d)$<doubleQuotes46>;<newline46mondego>"
"5837splitHere46","14779432splitHere46","\\"
"5838splitHere46","14779432splitHere46","String"
"5839splitHere46","14779432splitHere46","19:00"
"5840splitHere46","14779432splitHere46",":00"
"5841splitHere46","14779432splitHere46","String"
"5842splitHere46","14779432splitHere46","String militaryTimeRegex = <doubleQuotes46>^([01]\\d|2[0-3]):?([0-5]\\d):?([0-5]\\d)$<doubleQuotes46>;<newline46mondego>"
"5843splitHere46","14779490splitHere46","if(data1 != null && data2 != null && data3!= null)<newline46mondego>"
"5844splitHere46","14779490splitHere46","null"
"5845splitHere46","14779490splitHere46","<doubleQuotes46><doubleQuotes46>"
"5846splitHere46","14779599splitHere46","GWT structure"
"5847splitHere46","14779599splitHere46","app.nochahe.js"
"5848splitHere46","14779599splitHere46","static pages"
"5849splitHere46","14779599splitHere46","server"
"5850splitHere46","14779599splitHere46","h t t p : / / localhost : 8888 / MyModule.html ? gwt.codesvr = localhost : 9997<newline46mondego>"
"5851splitHere46","14779599splitHere46","ex:localhost:8080/myapp/someservice.<newline46mondego>"
"5852splitHere46","14779599splitHere46","HTTP"
"5853splitHere46","14779599splitHere46","GWT"
"5854splitHere46","14779644splitHere46","println"
"5855splitHere46","14779644splitHere46","javac -g SocketTest.java && java SocketTest localhost:80 abcd.com:80 localhost:80 localhost:80 localhost:80 <newline46mondego>Testing: localhost:80<newline46mondego>java.net.SocketTimeoutException: connect timed out<newline46mondego>Time: 63<newline46mondego>Testing: abcd.com:80<newline46mondego>java.net.UnknownHostException: abcd.com<newline46mondego>Time: 2350<newline46mondego>Testing: localhost:80<newline46mondego>java.net.SocketTimeoutException: connect timed out<newline46mondego>Time: 50<newline46mondego>Testing: localhost:80<newline46mondego>java.net.SocketTimeoutException: connect timed out<newline46mondego>Time: 50<newline46mondego>Testing: localhost:80<newline46mondego>java.net.SocketTimeoutException: connect timed out<newline46mondego>Time: 50<newline46mondego>"
"5856splitHere46","14779644splitHere46","import java.net.*;<newline46mondego><newline46mondego>public class SocketTest {<newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        if (args.length == 0) {<newline46mondego>            args = new String[]{<doubleQuotes46>localhost:80<doubleQuotes46>};<newline46mondego>        }<newline46mondego>        for (String target: args) {<newline46mondego>            test(target);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    private static void test(String target) throws Exception {<newline46mondego>        System.out.println(<doubleQuotes46>Testing: <doubleQuotes46> + target);<newline46mondego>        String[] parts = target.split(<doubleQuotes46>:<doubleQuotes46>);<newline46mondego>        String host = parts[0];<newline46mondego>        int port = Integer.valueOf(parts[1]);<newline46mondego>        Socket socket = new Socket();<newline46mondego>        long start = 0;<newline46mondego>        try {<newline46mondego>            start = System.nanoTime();<newline46mondego>            socket.connect(new InetSocketAddress(host, port), 50);<newline46mondego>        } catch (Exception e) {<newline46mondego>            System.out.println(e.toString());<newline46mondego>        } finally {<newline46mondego>            long end = System.nanoTime();<newline46mondego>            System.out.println(<doubleQuotes46>Time: <doubleQuotes46> + ((end - start) / 1000000));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"5857splitHere46","14779653splitHere46","example_table"
"5858splitHere46","14779653splitHere46","some_type_table"
"5859splitHere46","14779653splitHere46","+----------------+  +----------------------------------+  +----------------+      <newline46mondego>| example_table  |  | example_table_to_some_type_table |  | some_type_table|<newline46mondego>+----------------+  +----------------------------------+  +----------------+   <newline46mondego>|example_table_id|  |example_table_id                  |  |some_type_id    |<newline46mondego>|another_id      |  |example_table_another_id          |  |another_id      |<newline46mondego>|...             |  |some_type_id                      |  |...             |<newline46mondego>|                |  |some_type_table_another_id        |  |                |<newline46mondego>|other columns   |  +----------------------------------+  |other columns   |<newline46mondego>|...             |                                        |...             | <newline46mondego>+----------------+                                        +----------------+<newline46mondego>"
"5860splitHere46","14780103splitHere46","@Bean"
"5861splitHere46","14780103splitHere46","@Configuration"
"5862splitHere46","14780103splitHere46","@Bean"
"5863splitHere46","14780104splitHere46","JFrame"
"5864splitHere46","14780104splitHere46","mainframe.getContentPane().add(new MainMenuPanel()); <newline46mondego>"
"5865splitHere46","14780104splitHere46","add(mainmenupanel);<newline46mondego>"
"5866splitHere46","14780104splitHere46","add(label1);<newline46mondego>add(btnNewGame);<newline46mondego>"
"5867splitHere46","14780146splitHere46","aspectjtools-1.6.2.jar"
"5868splitHere46","14780146splitHere46","/ant_tasks/resources-ant.jar"
"5869splitHere46","14780146splitHere46","/ant_tasks"
"5870splitHere46","14780211splitHere46","int"
"5871splitHere46","14780211splitHere46","Object"
"5872splitHere46","14780211splitHere46","int[]"
"5873splitHere46","14780211splitHere46","Object[]"
"5874splitHere46","14780211splitHere46","Integer[] I = new Integer[]{1, 2, 3, 4, 5};<newline46mondego>WriteLine(I);<newline46mondego>"
"5875splitHere46","14780211splitHere46","WriteLine"
"5876splitHere46","14780211splitHere46","public static void WriteLine(int Array[]) {<newline46mondego>...<newline46mondego>public static void WriteLine(long Array[]) {<newline46mondego>...<newline46mondego>"
"5877splitHere46","14780240splitHere46","decodeResource(Resources res, int id, BitmapFactory.Options opts)<newline46mondego>"
"5878splitHere46","14780240splitHere46","drawable-nodpi<newline46mondego>"
"5879splitHere46","14780415splitHere46","src"
"5880splitHere46","14780415splitHere46","javac -sourcepath src -d classes src/com/example/model/TestBeerExpert.java<newline46mondego>"
"5881splitHere46","14780415splitHere46","javac"
"5882splitHere46","14780415splitHere46","BeerExpert"
"5883splitHere46","14780415splitHere46","~/beerV1$ ls src/com/example/model/<newline46mondego>BeerExpert.java  TestBeerExpert.java<newline46mondego>~/beerV1$ ls classes<newline46mondego>~/beerV1$ javac -sourcepath src -d classes src/com/example/model/TestBeerExpert.java<newline46mondego>~/beerV1$ ls classes/com/example/model/<newline46mondego>BeerExpert.class  TestBeerExpert.class<newline46mondego>"
"5884splitHere46","14780469splitHere46","StoreFilterField"
"5885splitHere46","14780469splitHere46","applyFilters"
"5886splitHere46","14780469splitHere46","protected void applyFilters(Store<M> store) {<newline46mondego>  if (getRawValue().length() > 0) {<newline46mondego>    store.addFilter(filter);<newline46mondego>    store.applyFilters(property);<newline46mondego>  } else {<newline46mondego>    store.removeFilter(filter);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"5887splitHere46","14780469splitHere46","StoreFilterField"
"5888splitHere46","14780469splitHere46","filterText = new StoreFilterField<ModelData>() {<newline46mondego>  @Override<newline46mondego>  protected void applyFilters(Store<M> store) {<newline46mondego>    if (getRawValue().length() > 3) {<newline46mondego>      store.addFilter(filter);<newline46mondego>      store.applyFilters(getProperty());<newline46mondego>    } else {<newline46mondego>      store.removeFilter(filter);<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"5889splitHere46","14780612splitHere46","class OverflowException extends RuntimeException {}<newline46mondego><newline46mondego>public class Variables {<newline46mondego>    int[] data;<newline46mondego>    int size;<newline46mondego><newline46mondego>    public Variables(int size_){<newline46mondego>        size = size_;<newline46mondego>        data = new int[1 + size/32];<newline46mondego>    }<newline46mondego>    public boolean get(int i){<newline46mondego>         return (data[i/32] & (1 << i%32)) != 0;<newline46mondego>    }<newline46mondego>    public void set(int i, boolean v){<newline46mondego>        if (v)<newline46mondego>            data[i/32] |= (1 << i%32);<newline46mondego>        else<newline46mondego>            data[i/32] &= ~(1 << i%32);<newline46mondego>    }<newline46mondego>    public void increment(){<newline46mondego>         int i;<newline46mondego>         for (i=0; i < size/32; i++){<newline46mondego>             data[i]++;<newline46mondego>             if (data[i] != 0) return;<newline46mondego>         }<newline46mondego>         if (size%32 != 0){<newline46mondego>             data[i]++;<newline46mondego>             if ((data[i] & ~((1 << (size%32)) - 1)) != 0)<newline46mondego>                 throw new OverflowException();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"5890splitHere46","14780612splitHere46","boolean"
"5891splitHere46","14780819splitHere46","Drop table tablename  <newline46mondego>--run rebuild scripts<newline46mondego>"
"5892splitHere46","14780940splitHere46","O(n)"
"5893splitHere46","14781003splitHere46","AtomicLong"
"5894splitHere46","14781040splitHere46","DoubleProperty xValue = new SimpleDoubleProperty();<newline46mondego>    xValue.bind(circle.centerXProperty());<newline46mondego>    xValue.addListener(new ChangeListener() {<newline46mondego>        @Override<newline46mondego>        public void changed(ObservableValue arg0, Object arg1, Object arg2) {<newline46mondego><newline46mondego>            System.out.println(<doubleQuotes46> Current center X : <doubleQuotes46> + (double) arg2);<newline46mondego>        }<newline46mondego>    });<newline46mondego>"
"5895splitHere46","14781163splitHere46","MouseAdapter mAdapter = new MouseAdapter() {<newline46mondego>    public void mousePressed(MouseEvent e) {<newline46mondego>        // Create the same transform as used for drawing the rectangle<newline46mondego>        AffineTransform t = new AffineTransform();<newline46mondego>        t.rotate(Math.toRadians(90), rect.x, rect.y);<newline46mondego>        Point2D tp = t.inverseTransform(e.getPoint());<newline46mondego><newline46mondego>        if(rect.contains(tp)) {<newline46mondego>            System.out.println(<doubleQuotes46>HIT INSIDE RECTANGLE<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"5896splitHere46","14781209splitHere46","createTemporaryFile"
"5897splitHere46","14781209splitHere46","deleteOnExit"
"5898splitHere46","14781288splitHere46","JSONObject json = new JSONObject();<newline46mondego>json.put(<doubleQuotes46>aoColumnDefs<doubleQuotes46>, new JSONArray()<newline46mondego>  .put(new JSONObject(<doubleQuotes46>bSortable<doubleQuotes46>, <doubleQuotes46>false<doubleQuotes46>, <doubleQuotes46>aTargets<doubleQuotes46>, new JSONArray().put(0))));<newline46mondego>json.put(<doubleQuotes46>aaSorting<doubleQuotes46>, new JSONArray().put(new JSONArray().put(1, <doubleQuotes46>asc<doubleQuotes46>));<newline46mondego>"
"5899splitHere46","14781326splitHere46","Calendar"
"5900splitHere46","14781326splitHere46","Timer"
"5901splitHere46","14781326splitHere46","Calendar"
"5902splitHere46","14781594splitHere46","play.Play.application().configuration().getString(<doubleQuotes46>value<doubleQuotes46>);<newline46mondego><newline46mondego>// or<newline46mondego>import play.Play;<newline46mondego>Play.application().configuration().getString(<doubleQuotes46>value<doubleQuotes46>);<newline46mondego>"
"5903splitHere46","14781600splitHere46","<bean id=<doubleQuotes46>emf<doubleQuotes46> class=<doubleQuotes46>org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>persistenceUnitManager<doubleQuotes46> ref=<doubleQuotes46>pum<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>persistenceUnitName<doubleQuotes46> value=<doubleQuotes46>my-pu<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>jpaProperties<doubleQuotes46>><newline46mondego>        <props><newline46mondego>            <prop key=<doubleQuotes46>hibernate.ejb.cfgfile<doubleQuotes46>>my-hibernate.cfg.xml</prop><newline46mondego>                            ... other configurations<newline46mondego>                    </props><newline46mondego> </bean><newline46mondego>"
"5904splitHere46","14781829splitHere46","textFieldGen.setText (textFieldGen.getText () + <doubleQuotes46>\n<doubleQuotes46> + Integer.toString(numNum))"
"5905splitHere46","14782251splitHere46","HashMap<String,Integer>"
"5906splitHere46","14782251splitHere46","get(key)"
"5907splitHere46","14782251splitHere46","put(key, newValue)"
"5908splitHere46","14782251splitHere46","put"
"5909splitHere46","14782251splitHere46","int"
"5910splitHere46","14782251splitHere46","String value"
"5911splitHere46","14782251splitHere46","Integer.valueOf(value)"
"5912splitHere46","14782255splitHere46","dalvik/vm/oo/Object.h"
"5913splitHere46","14782255splitHere46","struct Object"
"5914splitHere46","14782255splitHere46","/*<newline46mondego> * There are three types of objects:<newline46mondego> *  Class objects - an instance of java.lang.Class<newline46mondego> *  Array objects - an object created with a <doubleQuotes46>new array<doubleQuotes46> instruction<newline46mondego> *  Data objects - an object that is neither of the above<newline46mondego> *<newline46mondego> * We also define String objects.  At present they're equivalent to<newline46mondego> * DataObject, but that may change.  (Either way, they make some of the<newline46mondego> * code more obvious.)<newline46mondego> *<newline46mondego> * All objects have an Object header followed by type-specific data.<newline46mondego> */<newline46mondego>"
"5915splitHere46","14782255splitHere46","java.lang.Class"
"5916splitHere46","14782255splitHere46","ClassObject"
"5917splitHere46","14782255splitHere46","Object.h"
"5918splitHere46","14782255splitHere46","struct ArrayObject : Object {<newline46mondego>    /* number of elements; immutable after init */<newline46mondego>    u4              length;<newline46mondego><newline46mondego>    /*<newline46mondego>     * Array contents; actual size is (length * sizeof(type)).  This is<newline46mondego>     * declared as u8 so that the compiler inserts any necessary padding<newline46mondego>     * (e.g. for EABI); the actual allocation may be smaller than 8 bytes.<newline46mondego>     */<newline46mondego>    u8              contents[1];<newline46mondego>};<newline46mondego>"
"5919splitHere46","14782255splitHere46","vm/oo/Array.cpp"
"5920splitHere46","14782255splitHere46","sizeof(Object*)"
"5921splitHere46","14782255splitHere46","/*<newline46mondego> * Data objects have an Object header followed by their instance data.<newline46mondego> */<newline46mondego>struct DataObject : Object {<newline46mondego>    /* variable #of u4 slots; u8 uses 2 slots */<newline46mondego>    u4              instanceData[1];<newline46mondego>};<newline46mondego>"
"5922splitHere46","14782255splitHere46","DataObject"
"5923splitHere46","14782255splitHere46","computeFieldOffsets"
"5924splitHere46","14782255splitHere46","vm/oo/Class.cpp"
"5925splitHere46","14782255splitHere46","/*<newline46mondego> * Assign instance fields to u4 slots.<newline46mondego> *<newline46mondego> * The top portion of the instance field area is occupied by the superclass<newline46mondego> * fields, the bottom by the fields for this class.<newline46mondego> *<newline46mondego> * <doubleQuotes46>long<doubleQuotes46> and <doubleQuotes46>double<doubleQuotes46> fields occupy two adjacent slots.  On some<newline46mondego> * architectures, 64-bit quantities must be 64-bit aligned, so we need to<newline46mondego> * arrange fields (or introduce padding) to ensure this.  We assume the<newline46mondego> * fields of the topmost superclass (i.e. Object) are 64-bit aligned, so<newline46mondego> * we can just ensure that the offset is <doubleQuotes46>even<doubleQuotes46>.  To avoid wasting space,<newline46mondego> * we want to move non-reference 32-bit fields into gaps rather than<newline46mondego> * creating pad words.<newline46mondego> *<newline46mondego> * In the worst case we will waste 4 bytes, but because objects are<newline46mondego> * allocated on >= 64-bit boundaries, those bytes may well be wasted anyway<newline46mondego> * (assuming this is the most-derived class).<newline46mondego> *<newline46mondego> * Pad words are not represented in the field table, so the field table<newline46mondego> * itself does not change size.<newline46mondego> *<newline46mondego> * The number of field slots determines the size of the object, so we<newline46mondego> * set that here too.<newline46mondego> *<newline46mondego> * This function feels a little more complicated than I'd like, but it<newline46mondego> * has the property of moving the smallest possible set of fields, which<newline46mondego> * should reduce the time required to load a class.<newline46mondego> *<newline46mondego> * NOTE: reference fields *must* come first, or precacheReferenceOffsets()<newline46mondego> * will break.<newline46mondego> */<newline46mondego>"
"5926splitHere46","14782255splitHere46","43241340"
"5927splitHere46","14782268splitHere46","java.args=-server -Xms2048m -Xmx2048m -Xmn1024m -Dsun.io.useCanonCaches=false -XX:MaxPermSize=192m -XX:+UseParallelGC -Xbatch -Dcoldfusion.rootDir={application.home}/ -Djava.security.policy={application.home}/servers/cfusion/cfusion-ear/cfusion-war/WEB-INF/cfusion/lib/coldfusion.policy -Djava.security.auth.policy={application.home}/servers/cfusion/cfusion-ear/cfusion-war/WEB-INF/cfusion/lib/neo_jaas.policy<newline46mondego>"
"5928splitHere46","14782268splitHere46","http://localhost/CFIDE/administrator/monitor/launch-monitor.cfm"
"5929splitHere46","14782358splitHere46","UPDATE FORUM SET UPLOAD_DATE = CURRENT_TIMESTAMP<newline46mondego>"
"5930splitHere46","14782424splitHere46","private static final String serverIp;<newline46mondego>static {<newline46mondego>    String addressString = null;<newline46mondego>    try<newline46mondego>    {<newline46mondego>        InetAddress address = InetAddress.getLocalHost();<newline46mondego>        addressString = address.getHostAddress();<newline46mondego>    } catch (Exception e)<newline46mondego>    {<newline46mondego>        logger.error(<doubleQuotes46>Exception while attempting to determine local ip address<doubleQuotes46>,e);<newline46mondego>    }<newline46mondego><newline46mondego>    if (addressString != null) serverIp = addressString;<newline46mondego>    else serverIp = <doubleQuotes46>unknown<doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"5931splitHere46","14782520splitHere46","compile"
"5932splitHere46","14782520splitHere46","<project name=<doubleQuotes46>chat<doubleQuotes46> default=<doubleQuotes46>compile<doubleQuotes46> basedir=<doubleQuotes46>.<doubleQuotes46>><newline46mondego>"
"5933splitHere46","14782520splitHere46","compile"
"5934splitHere46","14782520splitHere46","release"
"5935splitHere46","14782520splitHere46","ant release<newline46mondego>"
"5936splitHere46","14782541splitHere46","toSimpleName(String inp):<newline46mondego>    switch (inp) {<newline46mondego>        case <doubleQuotes46>StringAttribute<doubleQuotes46>  : <doubleQuotes46>String<doubleQuotes46><newline46mondego>        case <doubleQuotes46>IntegerAttribute<doubleQuotes46> : <doubleQuotes46>int<doubleQuotes46><newline46mondego>        // ...more cases here...<newline46mondego>        default                 : inp<newline46mondego>    }<newline46mondego>;<newline46mondego>"
"5937splitHere46","14782541splitHere46","«FOR a:e.attributes»<newline46mondego> Type = «a.eClass.name.toSimpleName()»<newline46mondego> Value = «a.name.toFirstUpper»<newline46mondego><newline46mondego>«ENDFOR»<newline46mondego>"
"5938splitHere46","14782597splitHere46","String [] data = a.split(<doubleQuotes46>^\\{*|,|\\}*$<doubleQuotes46>);<newline46mondego>"
"5939splitHere46","14782853splitHere46","src/<newline46mondego>   com.xxx.xxx.tracker.utils.Xxxx.java<newline46mondego>   test/<newline46mondego>       java/<newline46mondego>           com.xxx.xxx.tracker.utils.XxxxTest.java<newline46mondego>"
"5940splitHere46","14782853splitHere46","src/<newline46mondego>   main/<newline46mondego>       java/<newline46mondego>           com.xxx.xxx.tracker.utils.Xxxx.java<newline46mondego>   test/<newline46mondego>       java/<newline46mondego>           com.xxx.xxx.tracker.utils.XxxxTest.java<newline46mondego>"
"5941splitHere46","14782928splitHere46","(is a directory)"
"5942splitHere46","14782928splitHere46","copy(new File(<doubleQuotes46>Director1<doubleQuotes46>,<doubleQuotes46>filename<doubleQuotes46>), new File(<doubleQuotes46>Directory2<doubleQuotes46>,<doubleQuotes46>filename<doubleQuotes46>));<newline46mondego>"
"5943splitHere46","14782928splitHere46","rename"
"5944splitHere46","14782928splitHere46","copy(new File(<doubleQuotes46>Director1<doubleQuotes46>,<doubleQuotes46>filename<doubleQuotes46>), new File(<doubleQuotes46>Directory1<doubleQuotes46>,<doubleQuotes46>new_filename<doubleQuotes46>));<newline46mondego>"
"5945splitHere46","14783038splitHere46","public static <T> Collection <T> intersect (Collection <? extends T> a, Collection <? extends T> b)<newline46mondego>{<newline46mondego>    Collection <T> result = new ArrayList <T> ();<newline46mondego><newline46mondego>    for (T t: a)<newline46mondego>    {<newline46mondego>        if (b.remove (t)) result.add (t);<newline46mondego>    }<newline46mondego><newline46mondego>    return result;<newline46mondego>}<newline46mondego><newline46mondego>public static void main (String [] args)<newline46mondego>{<newline46mondego>    List <Integer> list1 = new ArrayList <Integer> (Arrays.<Integer>asList (2, 2, 2, 2, 5, 5));<newline46mondego>    List <Integer> list2 = new ArrayList <Integer> (Arrays.<Integer>asList (2, 2, 103));<newline46mondego>    List <Integer> list3 = new ArrayList <Integer> (Arrays.<Integer>asList (2, 431));<newline46mondego><newline46mondego>    System.out.println (intersect (list1, intersect (list2, list3)));<newline46mondego>}<newline46mondego>"
"5946splitHere46","14783194splitHere46","Button clickButton = findViewById(R.id.clickButton);<newline46mondego>clickButton.setOnClickListener( new OnClickListener() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void onClick(View v) {<newline46mondego>                // TODO Auto-generated method stub<newline46mondego>                ***Do what you want with the click here***<newline46mondego>            }<newline46mondego>        });<newline46mondego>"
"5947splitHere46","14783194splitHere46","// in OnCreate<newline46mondego><newline46mondego>Button mClickButton1 = findViewById(R.id.clickButton1);<newline46mondego>mClickButton1.setOnClickListener(this);<newline46mondego>Button mClickButton2 = findViewById(R.id.clickButton2);<newline46mondego>mClickButton2.setOnClickListener(this);<newline46mondego>Button mClickButton3 = findViewById(R.id.clickButton3);<newline46mondego>mClickButton3.setOnClickListener(this);<newline46mondego>Button mClickButton4 = findViewById(R.id.clickButton4);<newline46mondego>mClickButton4.setOnClickListener(this);<newline46mondego>Button mClickButton5 = findViewById(R.id.clickButton5);<newline46mondego>mClickButton5.setOnClickListener(this);<newline46mondego><newline46mondego><newline46mondego>// some where else in your code<newline46mondego><newline46mondego>public void onClick(View v) {<newline46mondego><newline46mondego>switch (v.getId()) {<newline46mondego>case  R.id.clickButton1: {<newline46mondego>// do something for button 1 click<newline46mondego>break;<newline46mondego>}<newline46mondego><newline46mondego>case R.id.clickButton2: {<newline46mondego>// do something for button 2 click<newline46mondego>break;<newline46mondego>}<newline46mondego><newline46mondego>//.... etc<newline46mondego><newline46mondego>}<newline46mondego>}<newline46mondego>"
"5948splitHere46","14783276splitHere46","private Calendar getPSTTime(Calendar utcTime)<newline46mondego>{<newline46mondego>    TimeZone americaPacific = TimeZone.getTimeZone(<doubleQuotes46>America/Los_Angeles<doubleQuotes46>);<newline46mondego>    Calendar pacificTime = Calendar.getInstance(americaPacific);<newline46mondego>    pacificTime.setTime(utcTime.getTime());<newline46mondego>    return pacificTime;<newline46mondego>}<newline46mondego>"
"5949splitHere46","14783276splitHere46","TimeZone.getAvailableIDs()"
"5950splitHere46","14783276splitHere46","<doubleQuotes46>America/Los_Angeles<doubleQuotes46>"
"5951splitHere46","14783303splitHere46","exceptionMap.put"
"5952splitHere46","14783303splitHere46","counter_exception.incrementAndGet()"
"5953splitHere46","14783303splitHere46","exceptionMap.put"
"5954splitHere46","14783303splitHere46","exceptionMap.put"
"5955splitHere46","14783323splitHere46","protected void onActivityResult (int requestCode, int resultCode, Intent data)...<newline46mondego>"
"5956splitHere46","14783323splitHere46","onActivityResult"
"5957splitHere46","14783331splitHere46","class Die <newline46mondego>{<newline46mondego>    private int sides;<newline46mondego><newline46mondego>    private int value;<newline46mondego><newline46mondego>    public Die() {<newline46mondego>        this.sides = 6;<newline46mondego>    }           // default to six-sided die<newline46mondego><newline46mondego>    public Die(int sides) {<newline46mondego>        this.sides = sides;<newline46mondego>    }  // variable number of sides<newline46mondego><newline46mondego>    public void roll() {<newline46mondego>        value = (int)(Math.random() * (sides-1)) + 1;<newline46mondego>    }     // randomly picks a face value<newline46mondego><newline46mondego>    public int getValue() {<newline46mondego>        return value;<newline46mondego>    }  // returns the face value<newline46mondego><newline46mondego>}// end class Die<newline46mondego>"
"5958splitHere46","14783672splitHere46","GZIPOutputStream"
"5959splitHere46","14783672splitHere46","finally"
"5960splitHere46","14783672splitHere46","import java.io.*;<newline46mondego>import java.util.zip.*;<newline46mondego>import java.nio.charset.*;<newline46mondego><newline46mondego>public class Zipper<newline46mondego>{<newline46mondego>  public static void main(String[] args)<newline46mondego>  {    <newline46mondego>    byte[] dataToCompress = <doubleQuotes46>This is the test data.<doubleQuotes46><newline46mondego>      .getBytes(StandardCharsets.ISO_8859_1);<newline46mondego><newline46mondego>    try<newline46mondego>    {<newline46mondego>      ByteArrayOutputStream byteStream =<newline46mondego>        new ByteArrayOutputStream(dataToCompress.length);<newline46mondego>      try<newline46mondego>      {<newline46mondego>        GZIPOutputStream zipStream =<newline46mondego>          zipStream = new GZIPOutputStream(byteStream);<newline46mondego>        try<newline46mondego>        {<newline46mondego>          zipStream.write(dataToCompress);<newline46mondego>        }<newline46mondego>        finally<newline46mondego>        {<newline46mondego>          zipStream.close();<newline46mondego>        }<newline46mondego>      }<newline46mondego>      finally<newline46mondego>      {<newline46mondego>        byteStream.close();<newline46mondego>      }<newline46mondego><newline46mondego>      byte[] compressedData = byteStream.toByteArray();<newline46mondego><newline46mondego>      FileOutputStream fileStream =<newline46mondego>        new FileOutputStream(<doubleQuotes46>C:/Users/UserName/Desktop/zip_file.gz<doubleQuotes46>);<newline46mondego>      try<newline46mondego>      {<newline46mondego>        fileStream.write(compressedData);<newline46mondego>      }<newline46mondego>      finally<newline46mondego>      {<newline46mondego>        try{ fileStream.close(); }<newline46mondego>          catch(Exception e){ /* We should probably delete the file now? */ }<newline46mondego>      }<newline46mondego>    }<newline46mondego>    catch(Exception e)<newline46mondego>    {<newline46mondego>      e.printStackTrace();<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"5961splitHere46","14783672splitHere46","null"
"5962splitHere46","14783672splitHere46","finally"
"5963splitHere46","14783672splitHere46","NullPointerException"
"5964splitHere46","14783672splitHere46","main"
"5965splitHere46","14783672splitHere46","IOException"
"5966splitHere46","14783672splitHere46","try"
"5967splitHere46","14783672splitHere46","zipStream.close();"
"5968splitHere46","14783672splitHere46","byteStream.close();"
"5969splitHere46","14783793splitHere46","// http://docs.oracle.com/html/E13977_01/authoriz.htm#BABHJJCJ<newline46mondego>  // oc4jclient.jar, oc4j-unsupported-api.jar<newline46mondego>  oracle.oc4j.security.Security.setSubject(subject, Longevity.SESSION);<newline46mondego>"
"5970splitHere46","14783803splitHere46","onActivityResult"
"5971splitHere46","14783803splitHere46","OnClickListener"
"5972splitHere46","14783803splitHere46","onActivityResult"
"5973splitHere46","14783803splitHere46","Activity"
"5974splitHere46","14783803splitHere46","OnClickListner"
