"1splitHere46","2439788splitHere46","public int foo() {...}<newline46mondego>public float foo() {..}<newline46mondego><newline46mondego>...<newline46mondego>foo(); // which one?<newline46mondego>"
"4289splitHere46","2570076splitHere46","T"
"4290splitHere46","2570076splitHere46","List#toArray(T[] a)"
"4291splitHere46","2570101splitHere46","l.setPreferredSize(l.getSize());<newline46mondego>"
"4292splitHere46","2570101splitHere46","setBounds"
"4293splitHere46","2570101splitHere46","l.setPreferredSize(l.getSize());<newline46mondego>l.setBounds(10, 10, 50, 20);<newline46mondego>"
"4294splitHere46","2570101splitHere46","l.setBounds(10, 10, 50, 20);<newline46mondego>l.setPreferredSize(l.getSize());<newline46mondego>"
"4295splitHere46","2570411splitHere46","Map<String, Object> myMap = new HashMap<String, Object>();<newline46mondego>...<newline46mondego>Object myObject = ...<newline46mondego>myMap.put(<doubleQuotes46>albert<doubleQuotes46>, myObject);  // record something with name <doubleQuotes46>albert<doubleQuotes46><newline46mondego>...<newline46mondego>Object someObject = myMap.get(<doubleQuotes46>albert<doubleQuotes46>);  // get the object named <doubleQuotes46>albert<doubleQuotes46><newline46mondego>// get(<doubleQuotes46>albert<doubleQuotes46>) would return null if there nothing with name <doubleQuotes46>albert<doubleQuotes46><newline46mondego>"
"4296splitHere46","2570411splitHere46","List<Date> dates = new ArrayList<Date>();<newline46mondego>dates.add(new Date());<newline46mondego>Date firstDate = dates.get(0);<newline46mondego>"
"4297splitHere46","2570524splitHere46","Session"
"4298splitHere46","2570524splitHere46","LazyInitializationException"
"4299splitHere46","2570524splitHere46","@ManyToMany(cascade = CascadeType.ALL, fetchType=FetchType.EAGER)<newline46mondego>"
"4300splitHere46","2570524splitHere46","fileLocations"
"4301splitHere46","2570915splitHere46","writeUTF"
"4302splitHere46","2570915splitHere46","DataOutputStream"
"4303splitHere46","2570915splitHere46","readUTF"
"4304splitHere46","2570915splitHere46","DataInputStream"
"4305splitHere46","2570915splitHere46","DataInputStream"
"4306splitHere46","2570915splitHere46","readUTF"
"4307splitHere46","2570915splitHere46","readInt()"
"4308splitHere46","2570915splitHere46","int"
"4309splitHere46","2570915splitHere46","readDouble()"
"4310splitHere46","2570915splitHere46","double"
"4311splitHere46","2570915splitHere46","DataInputStream"
"4312splitHere46","2570915splitHere46","FileWriter"
"4313splitHere46","2570937splitHere46","close()"
"4314splitHere46","2570937splitHere46","Reader"
"4315splitHere46","2570937splitHere46","Process"
"4316splitHere46","2571024splitHere46","transformer.transform(source, new StreamResult(<newline46mondego>   new OutputStreamWriter(new FileOutputStream(outputPath), <doubleQuotes46>UTF-8<doubleQuotes46>)));<newline46mondego>"
"4317splitHere46","2571047splitHere46","import java.util.HashMap;<newline46mondego>import java.util.Iterator;<newline46mondego>import java.util.Random;<newline46mondego><newline46mondego>class MyClass<newline46mondego>{<newline46mondego>    public String name;<newline46mondego>    public int[] myIntArray;<newline46mondego><newline46mondego>    public MyClass()<newline46mondego>    {<newline46mondego>        myIntArray = new int[10];<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class Program<newline46mondego>{<newline46mondego>    static final int MAX_RANDOM = 20;<newline46mondego><newline46mondego>    public static void main(String[] args)<newline46mondego>    {<newline46mondego>        // Create a new map which will use keys of type String and<newline46mondego>        // hold values of type MyClass.<newline46mondego>        HashMap<String, MyClass> map = new HashMap<String, MyClass>();<newline46mondego><newline46mondego>        // Initialize a new random object. Not supplying a seed number<newline46mondego>        // means that it seeds from the system clock, a good source of<newline46mondego>        // randomness.<newline46mondego>        Random rand = new Random();<newline46mondego><newline46mondego>        // Loop ten times...<newline46mondego>        for (int i = 0; i < 10; ++i)<newline46mondego>        {<newline46mondego>            // ...and each time, create a new MyClass and call it <doubleQuotes46>m<doubleQuotes46>...<newline46mondego>            MyClass m = new MyClass();<newline46mondego><newline46mondego>            // ...and set m.name as <doubleQuotes46>c<doubleQuotes46> followed by the iteration number.<newline46mondego>            m.name = <doubleQuotes46>c<doubleQuotes46> + i;<newline46mondego><newline46mondego>            // Loop as many times as there are elements in m.myIntArray...<newline46mondego>            for (int j = 0; j < m.myIntArray.length; ++j)<newline46mondego>            {<newline46mondego>                // ...and each time, set the next element to a new random int<newline46mondego>                // with a value between 0 and MAX_RANDOM.<newline46mondego>                m.myIntArray[j] = rand.nextInt(MAX_RANDOM);<newline46mondego>            }<newline46mondego><newline46mondego>            // Once we've filled all the variables, push the object into<newline46mondego>            // the map using its name as the lookup key.<newline46mondego>            map.put(m.name, m);<newline46mondego><newline46mondego>            // The <doubleQuotes46>m<doubleQuotes46> variable now goes out of scope and the name can be<newline46mondego>            // re-used on the next iteration of the loop. <doubleQuotes46>map<doubleQuotes46> and <doubleQuotes46>rand<doubleQuotes46><newline46mondego>            // stay in scope because they were declared outside the loop body.<newline46mondego>        }<newline46mondego><newline46mondego>        // Now that we've created ten objects, time to read them back out.<newline46mondego><newline46mondego>        // Get an iterator object which will let us traverse the set of<newline46mondego>        // keys (names) in the map.<newline46mondego>        Iterator<String> i = map.keySet().iterator();<newline46mondego>        // While i still has more keys in the set...<newline46mondego>        while (i.hasNext())<newline46mondego>        {<newline46mondego>            // Grab the next name from the iterator and assign it to<newline46mondego>            // a local variable called <doubleQuotes46>name<doubleQuotes46>.<newline46mondego>            String name = i.next();<newline46mondego><newline46mondego>            // Fetch the instance of MyClass from the map that corresponds<newline46mondego>            // to the key (name) we've just grabbed.<newline46mondego>            MyClass m = map.get(name);<newline46mondego><newline46mondego>            // Print its name to the console...<newline46mondego>            System.out.println(<doubleQuotes46>Name: <doubleQuotes46> + m.name);<newline46mondego><newline46mondego>            // Print an opening bracket for the array...<newline46mondego>            System.out.print(<doubleQuotes46>[<doubleQuotes46>);<newline46mondego>            // ...and now run through each of the integers in the array<newline46mondego>            // and print those out, too.<newline46mondego>            for (int j = 0; j < m.myIntArray.length; ++j)<newline46mondego>            {<newline46mondego>                // Print the integer at position j...<newline46mondego>                System.out.print(m.myIntArray[j]);<newline46mondego>                // ...and if it's not the last item in the array,<newline46mondego>                // print a comma to separate it from the next one.<newline46mondego>                if (j < m.myIntArray.length - 1) System.out.print(<doubleQuotes46>, <doubleQuotes46>);<newline46mondego>            }<newline46mondego>            // Print the closing bracket, followed by two newlines to<newline46mondego>            // separate the next class with whitespace.<newline46mondego>            System.out.println(<doubleQuotes46>]\n<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"4318splitHere46","2571214splitHere46","File[] concat(File[] A, File[] B) <newline46mondego>   {<newline46mondego>     File[] C= new File[A.length+B.length];<newline46mondego>     System.arraycopy(A, 0, C, 0, A.length);<newline46mondego>     System.arraycopy(B, 0, C, A.length, B.length);<newline46mondego>     return C;<newline46mondego>   }<newline46mondego>"
"4319splitHere46","2571767splitHere46","List.class"
"4320splitHere46","2571767splitHere46","List<Boolean>"
"4321splitHere46","2571767splitHere46","List<Boolean>.class"
"4322splitHere46","2571902splitHere46","import com.starbase.util.FileUtils;"
"4323splitHere46","2571902splitHere46","import static com.starbase.util.FileUtils.*"
"4324splitHere46","2571902splitHere46","FileUtils"
"4325splitHere46","2571902splitHere46","Object"
"4326splitHere46","2571902splitHere46","public static boolean isBinary(String fileName) throws IOException {<newline46mondego>        return isBinary(new File(fileName));<newline46mondego>    }<newline46mondego><newline46mondego>    public static boolean isBinary(File file) throws IOException {<newline46mondego>        InputStream is = new FileInputStream(file);<newline46mondego>        try {<newline46mondego>            byte[] buf = new byte[4096];<newline46mondego>            int bytesRead;<newline46mondego>            while ((bytesRead = is.read(buf)) >= 0)<newline46mondego>            {<newline46mondego>                for (int i = 0; i < bytesRead; i++) {<newline46mondego>                    if (buf[i] == (byte) 0)<newline46mondego>                        return true;<newline46mondego>                }<newline46mondego>            }<newline46mondego><newline46mondego>            return false;<newline46mondego>        } finally {<newline46mondego>            is.close();<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"4327splitHere46","2571918splitHere46","transformer.setOutputProperty(<newline46mondego>   <doubleQuotes46>{http://xml.apache.org/xslt}indent-amount<doubleQuotes46>, <doubleQuotes46>5<doubleQuotes46>);<newline46mondego>"
"4328splitHere46","2572558splitHere46","public class Test{<newline46mondego>    public static void main(String[] args){<newline46mondego>        DerivedNode dn = new DerivedNode();<newline46mondego>        Derived d = new Derived(dn);<newline46mondego>        d.bar( dn );<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class Base{<newline46mondego>    protected BaseNode n;<newline46mondego>    public Base(BaseNode _n){<newline46mondego>        this.n = _n;<newline46mondego>    }<newline46mondego><newline46mondego>    public void foo(BaseNode x){<newline46mondego>        n.foo(x);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>class BaseNode{<newline46mondego>    public void foo(BaseNode x){<newline46mondego>        System.out.println( <doubleQuotes46>BaseNode foo<doubleQuotes46> );<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class Derived extends Base{<newline46mondego>    public Derived(BaseNode n){<newline46mondego>        super(n);<newline46mondego>    }<newline46mondego><newline46mondego>    public void bar(DerivedNode x){<newline46mondego>        if( n instanceof DerivedNode ){<newline46mondego>            // Type cast to DerivedNode to access bar<newline46mondego>            ((DerivedNode)n).bar(x);<newline46mondego>        }<newline46mondego>        else {<newline46mondego>            // Throw exception or what ever<newline46mondego>            throw new RuntimeException(<doubleQuotes46>Invalid Object Type<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class DerivedNode extends BaseNode{<newline46mondego>    public void bar(BaseNode b){<newline46mondego>        System.out.println( <doubleQuotes46>DerivedNode bar<doubleQuotes46> );<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"4329splitHere46","2572601splitHere46","String noXmlString = xmlString.replaceAll(<doubleQuotes46>\\<.*?\\><doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"4330splitHere46","2572601splitHere46","&lt;"
"4331splitHere46","2572601splitHere46","&gt;"
"4332splitHere46","2572601splitHere46","String noHtmlHtmlString = htmlHtmlString.replaceAll(<doubleQuotes46>&lt;.+?&gt;<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"4333splitHere46","2572601splitHere46","&quot;"
"4334splitHere46","2572601splitHere46","String noHtmlEncodingString = htmlEncodingString.replaceAll(<doubleQuotes46>&\\w+?;<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego>"
"4335splitHere46","2572605splitHere46","NullPointerException"
"4336splitHere46","2572605splitHere46","null"
"4337splitHere46","2572605splitHere46","String str = null;<newline46mondego>str.substring(2,4); // str is null and NullPointerException is thrown<newline46mondego>"
"4338splitHere46","2572605splitHere46","null"
"4339splitHere46","2572605splitHere46","null"
"4340splitHere46","2572605splitHere46","if"
"4341splitHere46","2572605splitHere46","if (obj != null)"
"4342splitHere46","2572605splitHere46","connectButton"
"4343splitHere46","2572605splitHere46","null"
"4344splitHere46","2572605splitHere46","initOptionsPane()"
"4345splitHere46","2572633splitHere46","MyEntity"
"4346splitHere46","2572633splitHere46","version"
"4347splitHere46","2572633splitHere46","@Entity<newline46mondego>public class MyEntity implements Serializable {    <newline46mondego><newline46mondego>    @Id<newline46mondego>    @GeneratedValue<newline46mondego>    private Long id;<newline46mondego><newline46mondego>    private String name;<newline46mondego><newline46mondego>    @Version<newline46mondego>    private Long version;<newline46mondego><newline46mondego>    //...<newline46mondego>}<newline46mondego>"
"4348splitHere46","2572633splitHere46","@Version"
"4349splitHere46","2572633splitHere46","WHERE"
"4350splitHere46","2572633splitHere46","UPDATE MYENTITY SET ..., VERSION = VERSION + 1 WHERE ((ID = ?) AND (VERSION = ?))<newline46mondego>"
"4351splitHere46","2572633splitHere46","WHERE"
"4352splitHere46","2572633splitHere46","OptimisticLockException"
"4353splitHere46","2572660splitHere46","r"
"4354splitHere46","2572660splitHere46","g"
"4355splitHere46","2572660splitHere46","b"
"4356splitHere46","2572660splitHere46","int pixel = (r << 16) | (g << 8) | b;<newline46mondego>"
"4357splitHere46","2572660splitHere46","BufferedImage"
"4358splitHere46","2572660splitHere46","r"
"4359splitHere46","2572660splitHere46","g"
"4360splitHere46","2572660splitHere46","b"
"4361splitHere46","2572660splitHere46","setRGB()"
"4362splitHere46","2572883splitHere46","final long startTime = System.currentTimeMillis();<newline46mondego>for (int i = 0; i < length; i++) {<newline46mondego>  // Do something<newline46mondego>}<newline46mondego>final long endTime = System.currentTimeMillis();<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>Total execution time: <doubleQuotes46> + (endTime - startTime) );<newline46mondego>"
"4363splitHere46","2573112splitHere46","ResponseHandler"
"4364splitHere46","2573112splitHere46","public void postData() {<newline46mondego>    // Create a new HttpClient and Post Header<newline46mondego>    HttpClient httpclient = new DefaultHttpClient();<newline46mondego>    HttpPost httppost = new HttpPost(<doubleQuotes46>http://www.yoursite.com/user<doubleQuotes46>);<newline46mondego><newline46mondego>    try {<newline46mondego>        // Add your data<newline46mondego>        List<NameValuePair> nameValuePairs = new ArrayList<NameValuePair>(2);<newline46mondego>        nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>id<doubleQuotes46>, <doubleQuotes46>12345<doubleQuotes46>));<newline46mondego>        nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>stringdata<doubleQuotes46>, <doubleQuotes46>AndDev is Cool!<doubleQuotes46>));<newline46mondego>        httppost.setEntity(new UrlEncodedFormEntity(nameValuePairs));<newline46mondego><newline46mondego>        // Execute HTTP Post Request<newline46mondego>        ResponseHandler<String> responseHandler=new BasicResponseHandler();<newline46mondego>        String responseBody = httpclient.execute(httppost, responseHandler);<newline46mondego>        JSONObject response=new JSONObject(responseBody);<newline46mondego>    } catch (ClientProtocolException e) {<newline46mondego>        // TODO Auto-generated catch block<newline46mondego>    } catch (IOException e) {<newline46mondego>        // TODO Auto-generated catch block<newline46mondego>    }<newline46mondego>} <newline46mondego>"
"4365splitHere46","2573481splitHere46","qem2"
"4366splitHere46","2573481splitHere46","qem2"
"4367splitHere46","2573481splitHere46","Main()"
"4368splitHere46","2573481splitHere46","Main()"
"4369splitHere46","2573481splitHere46","static void Main(string[] args)<newline46mondego>{<newline46mondego>    bool createdMutex;<newline46mondego><newline46mondego>    System.Threading.Mutex mutex = new<newline46mondego>    System.Threading.Mutex(true,<doubleQuotes46>myAppMutex<doubleQuotes46>,out createdMutex);<newline46mondego><newline46mondego>    if (!createdMutex)<newline46mondego>    {<newline46mondego>        MessageBox.Show( <doubleQuotes46>an instance of myApp is already running<doubleQuotes46>, <doubleQuotes46>myApp running...<doubleQuotes46>);<newline46mondego>        return;<newline46mondego>    }<newline46mondego><newline46mondego>    Application.Run();<newline46mondego>}<newline46mondego>"
"4370splitHere46","2573875splitHere46","group()"
"4371splitHere46","2573875splitHere46","toString()"
"4372splitHere46","2573875splitHere46","group(1)"
"4373splitHere46","2573875splitHere46","src"
"4374splitHere46","2573875splitHere46","<img>"
"4375splitHere46","2573875splitHere46","class"
"4376splitHere46","2573875splitHere46","[^<>]+"
"4377splitHere46","2573875splitHere46",".*"
"4378splitHere46","2573875splitHere46","<img src=<doubleQuotes46>http://so.com/foo.jpg<doubleQuotes46>> blah <img src=<doubleQuotes46>http://so.com/bar.jpg<doubleQuotes46>><newline46mondego>"
"4379splitHere46","2573875splitHere46",".*"
"4380splitHere46","2573875splitHere46","[^<>]*"
"4381splitHere46","2573875splitHere46","="
"4382splitHere46","2573875splitHere46","<doubleQuotes46>(?i)<img[^<>]+src\\s*=\\s*[\<doubleQuotes46>']?(http://stackoverflow\\.com/[^<>]+\\.jpg)<doubleQuotes46><newline46mondego>"
"4383splitHere46","2573879splitHere46","if (xmpp.getPresence(jid).isAvailable())<newline46mondego>"
"4384splitHere46","2573889splitHere46","public int[] myMethod() {<newline46mondego> //...<newline46mondego> int[] res = new int[7];<newline46mondego> //... set values ...<newline46mondego> return res;<newline46mondego>}<newline46mondego>"
"4385splitHere46","2574011splitHere46","session.flush()"
"4386splitHere46","2574011splitHere46","Car car = (Car) session.get(Car.class, 1);<newline46mondego>car.setModel(<doubleQuotes46>Mustang<doubleQuotes46>);<newline46mondego>session.flush();<newline46mondego>"
"4387splitHere46","2574011splitHere46","UPDATE"
"4388splitHere46","2574011splitHere46","Car"
"4389splitHere46","2574011splitHere46","Car car = new Car();<newline46mondego>car.setModel(<doubleQuotes46>Torino<doubleQuotes46>);<newline46mondego>session.save(car);<newline46mondego><newline46mondego>System.out.println(car.getId());               // prints 0<newline46mondego>session.flush();<newline46mondego>System.out.println(car.getId());               // prints something larger than 0<newline46mondego>"
"4390splitHere46","2574067splitHere46","void setAssociation(LeftClass left, RightClass right, AssociationClass assoc);<newline46mondego>AssociationClass getAssociation(LeftClass left, RightClass right);<newline46mondego>Map<RightClass, AssociationClass> getAssocationsLeft(LeftClass left);<newline46mondego>Map<LeftClass, AssociationClass> getAssocationsRight(RightClass right); <newline46mondego>void removeAssociation(LeftClass left, RightClass right);<newline46mondego>"
"4391splitHere46","2574067splitHere46","import java.util.HashMap;<newline46mondego><newline46mondego>/** This class holds many to many associations between two classes. */<newline46mondego>public class AssociationHolder<LeftClass, RightClass, AssociationClass> {<newline46mondego><newline46mondego>    // -------------------------------------------------------<newline46mondego>    // Attributes<newline46mondego>    // -------------------------------------------------------<newline46mondego><newline46mondego>    private HashMap<LeftClass, HashMap<RightClass, AssociationClass>> associationsLeft = <newline46mondego>        new HashMap<LeftClass, HashMap<RightClass,AssociationClass>>();<newline46mondego>    private HashMap<RightClass, HashMap<LeftClass, AssociationClass>> associationsRight = <newline46mondego>        new HashMap<RightClass, HashMap<LeftClass,AssociationClass>>();     <newline46mondego><newline46mondego>    // -------------------------------------------------------<newline46mondego>    // Methods<newline46mondego>    // -------------------------------------------------------<newline46mondego><newline46mondego>    /** <newline46mondego>     *  Set an association between two instance.<newline46mondego>     *  Any prior association is overwritten.<newline46mondego>     */<newline46mondego>    public void setAssociation(LeftClass left, RightClass right, AssociationClass association) {<newline46mondego><newline46mondego>        // Get the map for the left <newline46mondego>        HashMap<RightClass, AssociationClass> leftMap = this.associationsLeft.get(left);<newline46mondego><newline46mondego>        // No association defined yet for this left key ? => Create new map<newline46mondego>        if (leftMap == null) {<newline46mondego>            leftMap = new HashMap<RightClass, AssociationClass>();<newline46mondego>            this.associationsLeft.put(left, leftMap);<newline46mondego>        }<newline46mondego><newline46mondego>        // Get the map for the right <newline46mondego>        HashMap<LeftClass, AssociationClass> rightMap = this.associationsRight.get(right);<newline46mondego><newline46mondego>        // No association defined yet for this right key ? => Create new map<newline46mondego>        if (rightMap == null) {<newline46mondego>            rightMap = new HashMap<LeftClass, AssociationClass>();<newline46mondego>            this.associationsRight.put(right, rightMap);<newline46mondego>        }<newline46mondego><newline46mondego>        // Set the assoication on both maps<newline46mondego>        leftMap.put(right, association);<newline46mondego>        rightMap.put(left, association);        <newline46mondego><newline46mondego>    } <newline46mondego><newline46mondego>    /** @return null if no association found. */<newline46mondego>    public AssociationClass getAssociation(LeftClass left, RightClass right) {<newline46mondego><newline46mondego>        // Use left maps (could have used the right one as well)<newline46mondego>        HashMap<RightClass, AssociationClass> leftMap = this.associationsLeft.get(left);<newline46mondego>        if (leftMap == null) return null;<newline46mondego>        return leftMap.get(right);<newline46mondego>    }<newline46mondego><newline46mondego>    /** Get all associations defined for a given Left instance.  */<newline46mondego>    public HashMap<RightClass, AssociationClass> getAssociationsLeft(LeftClass left) {<newline46mondego><newline46mondego>        HashMap<RightClass, AssociationClass> leftMap = this.associationsLeft.get(left);<newline46mondego><newline46mondego>        // No map defined ? return empty one instead of null<newline46mondego>        if (leftMap == null) {<newline46mondego>            return new HashMap<RightClass, AssociationClass>();<newline46mondego>        } else {<newline46mondego>            return leftMap;<newline46mondego>        }   <newline46mondego>    }<newline46mondego><newline46mondego>    /** Get all associations defined for a given Right instance.  */<newline46mondego>    public HashMap<LeftClass, AssociationClass> getAssociationsRight(RightClass right) {<newline46mondego><newline46mondego>        HashMap<LeftClass, AssociationClass> rightMap = this.associationsRight.get(right);<newline46mondego><newline46mondego>        // No map defined ? return empty one instead of null<newline46mondego>        if (rightMap == null) {<newline46mondego>            return new HashMap<LeftClass, AssociationClass>();<newline46mondego>        } else {<newline46mondego>            return rightMap;<newline46mondego>        }   <newline46mondego>    }<newline46mondego><newline46mondego>    /** <newline46mondego>     *  Remove an association between two instances.<newline46mondego>     */<newline46mondego>    public void removeAssociation(LeftClass left, RightClass right) {<newline46mondego>        HashMap<RightClass, AssociationClass> leftMap = this.getAssociationsLeft(left);<newline46mondego>        HashMap<LeftClass, AssociationClass> rightMap = this.getAssociationsRight(right);<newline46mondego>        leftMap.remove(right);      <newline46mondego>        rightMap.remove(left);  <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"4392splitHere46","2574075splitHere46","EntityManagerFactory"
"4393splitHere46","2574075splitHere46","EntityManager"
"4394splitHere46","2574075splitHere46","EntityManagerFactory emf  = Persistence.createEntityManagerFactory(PU_NAME);<newline46mondego>EntityManager entityManager = emf.createEntityManager();<newline46mondego>"
"4395splitHere46","2574075splitHere46","EntityManagerFactory"
"4396splitHere46","2574075splitHere46","EntityManager"
"4397splitHere46","2574207splitHere46","Document"
"4398splitHere46","2574207splitHere46","Element"
"4399splitHere46","2574302splitHere46","Const"
"4400splitHere46","2574302splitHere46","Const c = new Const();<newline46mondego>System.out.println( c.Const( <doubleQuotes46>Hello!<doubleQuotes46> ) );<newline46mondego>"
"4401splitHere46","2574326splitHere46","(ns stackoverflow<newline46mondego>  (:use clojure.contrib.import-static)<newline46mondego>  (:import (java.lang.reflect Modifier)))<newline46mondego><newline46mondego>(defmacro import-static-fields<newline46mondego>  <doubleQuotes46>Imports all static final fields of the class as (private) symbols<newline46mondego>  in the current namespace.<newline46mondego><newline46mondego>  Example: <newline46mondego>      user> (import-static-fields java.lang.Integer)<newline46mondego>      #'user/TYPE<newline46mondego>      user> MAX_VALUE<newline46mondego>      2147483647<newline46mondego><newline46mondego>  Note: The class name must be fully qualified, even if it has already<newline46mondego>  been imported.<doubleQuotes46><newline46mondego>  [class]<newline46mondego>  (let [final-static-field? (fn [field]<newline46mondego>                  (let [modifiers (.getModifiers field)]<newline46mondego>                (and (Modifier/isStatic modifiers) (Modifier/isFinal modifiers))))<newline46mondego>    static-fields (map #(.getName %)<newline46mondego>               (filter<newline46mondego>                final-static-field?<newline46mondego>                (.. Class (forName (str class)) getFields)))]<newline46mondego>    `(import-static ~class ~@static-fields)))<newline46mondego>"
"4402splitHere46","2574509splitHere46","Class.methodName"
"4403splitHere46","2574509splitHere46","Class.methodName(type)"
"4404splitHere46","2574509splitHere46","aString.split"
"4405splitHere46","2574545splitHere46","lcab"
"4406splitHere46","2574545splitHere46","apt-get install"
"4407splitHere46","2574545splitHere46","sudo apt-get install lcab"
"4408splitHere46","2574614splitHere46","\d+<newline46mondego>"
"4409splitHere46","2574614splitHere46","final Pattern pattern = Pattern.compile(<doubleQuotes46>\\d+<doubleQuotes46>); // the regex<newline46mondego>final Matcher matcher = pattern.matcher(<doubleQuotes46>ali123hgj<doubleQuotes46>); // your string<newline46mondego><newline46mondego>final ArrayList<Integer> ints = new ArrayList<Integer>(); // results<newline46mondego><newline46mondego>while (matcher.find()) { // for each match<newline46mondego>    ints.add(Integer.parseInt(matcher.group())); // convert to int<newline46mondego>}<newline46mondego>"
"4410splitHere46","2574697splitHere46","public HashBiMap<String,HashSet<FileObject>> wordToFiles = HashBiMap.create ();<newline46mondego>"
"4411splitHere46","2574697splitHere46","BiMap"
"4412splitHere46","2574697splitHere46","HashBiMap"
"4413splitHere46","2574697splitHere46","BiMap"
"4414splitHere46","2574697splitHere46","Multimap<String, FileObject> wordToFiles = HashMultimap.create();<newline46mondego>wordToFiles.put(<doubleQuotes46>first<doubleQuotes46>, somefile);<newline46mondego>wordToFiles.put(<doubleQuotes46>first<doubleQuotes46>, anotherfile);<newline46mondego>for (FileObject file : wordToFiles.get(<doubleQuotes46>first<doubleQuotes46>){<newline46mondego>   doSomethingWithFile (file);<newline46mondego>}<newline46mondego>"
"4415splitHere46","2574740splitHere46","private static String[] returnValues = new String[10]<newline46mondego>private static MyDialog dialog;<newline46mondego><newline46mondego>private MyDialog() {<newline46mondego>  initDialog()<newline46mondego>}<newline46mondego><newline46mondego>private void closeDialog()<newline46mondego>{<newline46mondego>     dispose();<newline46mondego>}<newline46mondego><newline46mondego>private initDialog()<newline46mondego>{<newline46mondego><newline46mondego> //....<newline46mondego> btnOk = new JButton(<doubleQuotes46>OK<doubleQuotes46>);<newline46mondego>  jTextField1 = new JTextField();<newline46mondego>  ...<newline46mondego>  jTextField10 = new JTextField();<newline46mondego>  ...<newline46mondego>  ActionListener btnOK_click = new ActionListener() {<newline46mondego><newline46mondego>        public void actionPerformed(ActionEvent e)<newline46mondego>        {<newline46mondego>            returnValues[0] = jTextField1.getText();<newline46mondego>            ...<newline46mondego>            returnValues[9] = jTextField10.getText();<newline46mondego>            closeDialog();  <newline46mondego>        }<newline46mondego>  }<newline46mondego>  btnOk.addActionListener(btnOk_click);<newline46mondego>}<newline46mondego><newline46mondego>public static String[] showMyDialog() {<newline46mondego>    dialog = new MyDialog();<newline46mondego>    dialog.setVisible(true);<newline46mondego>    return returnValues;<newline46mondego>}<newline46mondego>"
"4416splitHere46","2575156splitHere46","myDependency.doThis();<newline46mondego>"
"4417splitHere46","2575156splitHere46","myDependency.onEventX += doThis();<newline46mondego>"
"4418splitHere46","2575156splitHere46","class MyHighLevelClass {<newline46mondego>     MyLowLevelClass dep = new MyLowLeverClass();<newline46mondego> }<newline46mondego><newline46mondego> class App {<newline46mondego>     void main() {  new HighLevelClass().doStuff(); }<newline46mondego> }<newline46mondego>"
"4419splitHere46","2575156splitHere46","MyHighLevelClass"
"4420splitHere46","2575156splitHere46","MyLowLevelClass"
"4421splitHere46","2575156splitHere46","class MyLowLevelClass implements MyUsefulAbstraction { ... }<newline46mondego><newline46mondego>class MyHighLevelClass {<newline46mondego><newline46mondego>    MyUsefulAbstraction dep;<newline46mondego><newline46mondego>    MyHighLevelClass( MyUsefulAbstraction dep ) {<newline46mondego>        this.dep = dep;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class App {<newline46mondego>     void main() {  new HighLevelClass( new LowLevelClass() ).doStuff(); }<newline46mondego> }<newline46mondego>"
"4422splitHere46","2575156splitHere46","dependency injection = IoC + dependency inversion"
"4423splitHere46","2575156splitHere46","class App {<newline46mondego>     void main() {  DI.getHighLevelObject().doStuff(); }<newline46mondego> }<newline46mondego>"
"4424splitHere46","2575156splitHere46","ClassLoader"
"4425splitHere46","2575167splitHere46","DefaultMutableTreeNode"
"4426splitHere46","2575167splitHere46","toString"
"4427splitHere46","2575167splitHere46","JTree"
"4428splitHere46","2575167splitHere46","toString"
"4429splitHere46","2575167splitHere46","MutableTreeNode"
"4430splitHere46","2575167splitHere46","class MyTreeNode implements MutableTreeNode<newline46mondego>{<newline46mondego>  UserObject yourObject;<newline46mondego><newline46mondego>  MyTreeNode(UserObject yourObject)<newline46mondego>  {<newline46mondego>    this.yourObject = yourObject;<newline46mondego>  }<newline46mondego><newline46mondego>  // implement all needed methods to handle children and so on<newline46mondego><newline46mondego>  public String toString()<newline46mondego>  {<newline46mondego>    // then you can avoid using toString<newline46mondego>    return yourObject.sringRapresentation();<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"4431splitHere46","2575167splitHere46","DefaultMutableTreeNode"
"4432splitHere46","2575167splitHere46","toString"
"4433splitHere46","2575167splitHere46","TableCellRenderer"
"4434splitHere46","2575338splitHere46","noTryBlocks"
"4435splitHere46","2575338splitHere46","weblogic.xml"
